Систематски список на општини и населени места во Република Македонија,,,,,
според Законот за територијална организација на локалната самоуправа (Службен весник на Република Македонија бр. 55/04 и 12/05),,,,,
,,,,Состојба на податоците: 01.01.2009,
1490,Кавадарци,405493,Клиново,с,
1490,Кавадарци,405507,Конопиште,с,
1490,Кавадарци,405515,Кошани,с,
1490,Кавадарци,405523,Крњево,с,
1490,Кавадарци,405540,Куманичево,с,
1490,Кавадарци,405558,Мајден,с,
1490,Кавадарци,405574,Марена,с,
1490,Кавадарци,405582,Мрежичко,с,
1490,Кавадарци,405639,Праведник,с,
1490,Кавадарци,405647,Р’жаново,с,
1490,Кавадарци,405655,Радња,с,
1490,Кавадарци,405663,Раец,с,
1490,Кавадарци,405671,Ресава,с,
1490,Кавадарци,405698,Рожден,с,
1490,Кавадарци,405728,Сопот,с,
1490,Кавадарци,405736,Страгово,с,
1490,Кавадарци,405752,Фариш,с,
1490,Кавадарци,405779,Чемерско,с,
1490,Кавадарци,405787,Шешково,с,
1490,Кавадарци,405795,Шивец,с,
1511,Карбинци,418480,Аргулица,с,
1511,Карбинци,418501,Батање,с,
1511,Карбинци,418536,Вртешка,с,
1511,Карбинци,418544,Голем Габер,с,
1511,Карбинци,418579,Горни Балван,с,
1511,Карбинци,418587,Горно Трогерци,с,
1511,Карбинци,418617,Долни Балван,с,
1511,Карбинци,418625,Долно Трогерци,с,
1511,Карбинци,418641,Ебеплија,с,
1511,Карбинци,418676,Јунузлија,с,
1511,Карбинци,418692,Калаузлија,с,
1511,Карбинци,418706,Карбинци,с,
1511,Карбинци,418714,Кепекчелија,с,
1511,Карбинци,418722,Козјак,с,
1511,Карбинци,418765,Крупиште,с,
1511,Карбинци,418773,Курфалија,с,
1511,Карбинци,418781,Кучилат,с,
1511,Карбинци,418790,Кучица,с,
1511,Карбинци,418846,Мал Габер,с,
1511,Карбинци,418854,Мичак,с,
1511,Карбинци,418862,Муратлија,с,
1511,Карбинци,418897,Нов Караорман,с,
1511,Карбинци,418927,Оџалија,с,
1511,Карбинци,418960,Припечани,с,
1511,Карбинци,418978,Прналија,с,
1511,Карбинци,418994,Радање,с,
1511,Карбинци,419001,Руљак,с,
1511,Карбинци,419125,Таринци,с,
1511,Карбинци,419192,Црвулево,с,
1520,Кичево,406163,Кичево,г,
1520,Кичево,406198,Кнежино,с,
1520,Кичево,406279,Лазаровци,с,
1520,Кичево,406325,Мамудовци,с,
1520,Кичево,406392,Осој,с,
1520,Кичево,406503,Раштани,с,
1520,Кичево,406627,Трапчин Дол,с,
1562,Конче,412210,Габревци,с,
1562,Конче,412228,Гарван,с,
1562,Конче,412236,Горна Враштица,с,
1562,Конче,412244,Горни Липовиќ,с,
1562,Конче,412279,Дедино,с,
1562,Конче,412287,Долна Враштица,с,
1562,Конче,412295,Долни Липовиќ,с,
1562,Конче,412309,Долни Радеш,с,
1562,Конче,412333,Загорци,с,
1562,Конче,412422,Конче,с,
1562,Конче,412465,Лубница,с,
1562,Конче,412473,Негреновци,с,
1562,Конче,412562,Ракитец,с,
1562,Конче,412619,Скоруша,с,
1597,Кочани,406694,Безиково,с,
1597,Кочани,406708,Бели,с,
1597,Кочани,406732,Вранинци,с,
1597,Кочани,406767,Главовица,с,
1597,Кочани,406775,Горни Подлог,с,
1597,Кочани,406783,Горно Градче,с,
1597,Кочани,406791,Грдовци,с,
1597,Кочани,406805,Долни Подлог,с,
1597,Кочани,406813,Долно Градче,с,
1597,Кочани,406848,Јастребник,с,
1597,Кочани,406856,Костин Дол,с,
1597,Кочани,406864,Кочани,г,
1597,Кочани,406902,Лешки,с,
1597,Кочани,406929,Мојанци,с,
1597,Кочани,406945,Небојани,с,
1597,Кочани,406953,Нивичани,с,
1597,Кочани,406970,Ново Село,с,
1597,Кочани,406996,Оризари,с,
1597,Кочани,407003,Пантелеј,с,
1597,Кочани,407011,Пашаџиково,с,
1597,Кочани,407020,Полаки,с,
1597,Кочани,407038,Пресека,с,
1597,Кочани,407046,Прибачево,с,
1597,Кочани,407054,Припор,с,
1597,Кочани,407062,Рајчани,с,
1597,Кочани,407089,Речани,с,
1597,Кочани,407135,Тркање,с,
1597,Кочани,407160,Црвена Нива,с,
1619,Кратово,407194,Близанци,с,
1619,Кратово,407208,Вакуф,с,
1619,Кратово,407216,Горно Кратово,с,
1619,Кратово,407224,Димонце,с,
1619,Кратово,407232,Емирица,с,
1619,Кратово,407259,Железница,с,
1619,Кратово,407267,Живалево,с,
1619,Кратово,407275,Каврак,с,
1619,Кратово,407283,Кетеново,с,
1619,Кратово,407291,Кнежево,с,
1619,Кратово,407305,Којково,с,
1619,Кратово,407313,Коњух,с,
1619,Кратово,407321,Кратово,г,
1619,Кратово,407330,Крилатица,с,
1619,Кратово,407348,Куклица,с,
1619,Кратово,407356,Куново,с,
1619,Кратово,407364,Луково,с,
1619,Кратово,407372,Мушково,с,
1619,Кратово,407399,Нежилово,с,
1619,Кратово,407402,Пендак,с,
1619,Кратово,407429,Приковци,с,
1619,Кратово,407437,Секулица,с,
1619,Кратово,407445,Страцин,с,
1619,Кратово,407453,Талашманце,с,
1619,Кратово,407461,Татомир,с,
1619,Кратово,407470,Тополовиќ,с,
1619,Кратово,407488,Трновац,с,
1619,Кратово,407496,Туралево,с,
1619,Кратово,407500,Филиповци,с,
1619,Кратово,407518,Шлегово,с,
1619,Кратово,407526,Шопско Рударе,с,
1627,Крива Паланка,407542,Б’с,с,
1627,Крива Паланка,407569,Баштево,с,
1627,Крива Паланка,407577,Борово,с,
1627,Крива Паланка,407585,Варовиште,с,
1627,Крива Паланка,407615,Габар,с,
1627,Крива Паланка,407640,Голема Црцорија,с,
1627,Крива Паланка,407658,Градец,с,
1627,Крива Паланка,407674,Длабочица,с,
1627,Крива Паланка,407712,Добровница,с,
1627,Крива Паланка,407682,Дренак,с,
1627,Крива Паланка,407704,Дрење,с,
1627,Крива Паланка,407739,Дурачка Река,с,
1627,Крива Паланка,407747,Жидилово,с,
1627,Крива Паланка,407755,Киселица,с,
1627,Крива Паланка,407763,Конопница,с,
1627,Крива Паланка,407771,Костур,с,
1627,Крива Паланка,407780,Кошари,с,
1627,Крива Паланка,407798,Крива Паланка,г,
1627,Крива Паланка,407810,Кркља,с,
1627,Крива Паланка,407828,Крстов Дол,с,
1627,Крива Паланка,407836,Лозаново,с,
1627,Крива Паланка,407844,Луке,с,
1627,Крива Паланка,407879,Мала Црцорија,с,
1627,Крива Паланка,407887,Мартиница,с,
1627,Крива Паланка,407895,Метежево,с,
1627,Крива Паланка,407917,Мождивњак,с,
1627,Крива Паланка,407925,Нерав,с,
1627,Крива Паланка,407933,Огут,с,
1627,Крива Паланка,407968,Осиче,с,
1627,Крива Паланка,408000,Подржи Коњ,с,
1627,Крива Паланка,408042,Станци,с,
1627,Крива Паланка,408077,Т’лминци,с,
1627,Крива Паланка,408085,Трново,с,
1627,Крива Паланка,408093,Узем,с,
1635,Кривогаштани,410594,Бела Црква,с,
1635,Кривогаштани,410667,Боротино,с,
1635,Кривогаштани,410721,Воѓани,с,
1635,Кривогаштани,410756,Врбјани,с,
1635,Кривогаштани,410799,Годивје,с,
1635,Кривогаштани,411108,Кореница,с,
1635,Кривогаштани,411132,Кривогаштани,с,
1635,Кривогаштани,411167,Крушеани,с,
1635,Кривогаштани,411329,Мирче Ацев,с,
1635,Кривогаштани,411370,Обршани,с,
1635,Кривогаштани,411396,Пашино Рувци,с,
1635,Кривогаштани,408352,Подвис,с,
1635,Кривогаштани,411566,Славеј,с,
1643,Крушево,408107,Алданци,с,
1643,Крушево,408115,Арилево,с,
1643,Крушево,408123,Белушино,с,
1643,Крушево,408131,Бирино,с,
1643,Крушево,408140,Борино,с,
1643,Крушево,408158,Бучин,с,
1643,Крушево,408166,Врбоец,с,
1643,Крушево,408174,Горно Дивјаци,с,
1643,Крушево,408182,Долно Дивјаци,с,
1643,Крушево,408212,Јакреново,с,
1643,Крушево,408247,Крушево,г,
1643,Крушево,408263,Милошево,с,
1643,Крушево,408271,Норово,с,
1643,Крушево,408280,Острилци,с,
1643,Крушево,408298,Пресил,с,
1643,Крушево,408301,Пуста Река,с,
1643,Крушево,408328,Саждево,с,
1643,Крушево,408336,Свето Митрани,с,
1643,Крушево,408344,Селце,с,
1678,Куманово,408379,Агино Село,с,
1678,Куманово,408433,Бедиње,с,
1678,Куманово,408450,Бељаковце,с,
1678,Куманово,408468,Биљановце,с,
1678,Куманово,408484,Брзак,с,
1678,Куманово,408506,Вак’в,с,
1678,Куманово,408522,Винце,с,
1678,Куманово,408581,Габреш,с,
1678,Куманово,408603,Горно Коњаре,с,
1678,Куманово,408620,Градиште,с,
1678,Куманово,408638,Д’лга,с,
1678,Куманово,408689,Доброшане,с,
1678,Куманово,408697,Довезенце,с,
1678,Куманово,408719,Долно Коњаре,с,
1678,Куманово,408778,Живиње,с,
1678,Куманово,408794,Зубовце,с,
1678,Куманово,408816,Јачинце,с,
1678,Куманово,408824,К’шање,с,
1678,Куманово,408859,Карабичане,с,
1678,Куманово,408883,Клечевце,с,
1678,Куманово,408913,Кокошиње,с,
1678,Куманово,408921,Колицко,с,
1678,Куманово,408930,Косматац,с,
1678,Куманово,408948,Куманово,г,
1678,Куманово,408956,Кутлибег,с,
1678,Куманово,408964,Кучкарево,с,
1678,Куманово,409006,Лопате,с,
1678,Куманово,409014,Љубодраг,с,
1678,Куманово,409081,Мургаш,с,
1678,Куманово,409111,Ново Село,с,
1678,Куманово,409120,Новосељане,с,
1678,Куманово,409162,Орашац,с,
1678,Куманово,409227,Пезово,с,
1678,Куманово,409243,Проевце,с,
1678,Куманово,409260,Пчиња,с,
1678,Куманово,409294,Режановце,с,
1678,Куманово,409308,Речица,с,
1678,Куманово,409316,Романовце,с,
1678,Куманово,409367,Скачковце,с,
1678,Куманово,409383,Сопот,с,
1678,Куманово,409456,Студена Бара,с,
1678,Куманово,409464,Сушево,с,
1678,Куманово,409472,Табановце,с,
1678,Куманово,409499,Тромеѓа,с,
1678,Куманово,409502,Умин Дол,с,
1678,Куманово,409553,Черкези,с,
1678,Куманово,409561,Четирце,с,
1678,Куманово,409570,Шупљи Камен,с,
1694,Липково,408387,Алашевце,с,
1694,Липково,408441,Белановце,с,
1694,Липково,408514,Ваксинце,с,
1694,Липково,408549,Виштица,с,
1694,Липково,408590,Глажња,с,
1694,Липково,408611,Гошинце,с,
1694,Липково,408743,Думановце,с,
1694,Липково,408786,Злокуќане,с,
1694,Липково,408808,Извор,с,
1694,Липково,408972,Липково,с,
1694,Липково,408999,Лојане,с,
1694,Липково,409065,Матејче,с,
1694,Липково,409103,Никуштак,с,
1694,Липково,409146,Опае,с,
1694,Липково,409189,Оризари,с,
1694,Липково,409219,Отља,с,
1694,Липково,409278,Р’нковце,с,
1694,Липково,409324,Ропалце,с,
1694,Липково,409359,Руница,с,
1694,Липково,409375,Слупчане,с,
1694,Липково,409413,Стража,с,
1694,Липково,409430,Стрима,с,
1708,Лозово,413259,Аџибегово,с,
1708,Лозово,413232,Аџиматово,с,
1708,Лозово,413267,Бекирлија,с,
1708,Лозово,413356,Дорфулија,с,
1708,Лозово,413364,Ѓуземелци,с,
1708,Лозово,413402,Каратманово,с,
1708,Лозово,413429,Кишино,с,
1708,Лозово,413461,Лозово,с,
1708,Лозово,413500,Милино,с,
1708,Лозово,413615,Сарамзалино,с,
1708,Лозово,413445,Ќоселари,с,
1724,Маврово и Ростуша,403067,Аџиевци,с,
1724,Маврово и Ростуша,403083,Беличица,с,
1724,Маврово и Ростуша,403105,Бибај,с,
1724,Маврово и Ростуша,403113,Битуше,с,
1724,Маврово и Ростуша,403121,Богдево,с,
1724,Маврово и Ростуша,403130,Болетин,с,
1724,Маврово и Ростуша,403156,Велебрдо,с,
1724,Маврово и Ростуша,403164,Видуше,с,
1724,Маврово и Ростуша,403172,Волковија,с,
1724,Маврово и Ростуша,403229,Врбен,с,
1724,Маврово и Ростуша,403237,Врбјани,с,
1724,Маврово и Ростуша,403261,Галичник,с,
1724,Маврово и Ростуша,403334,Грекај,с,
1724,Маврово и Ростуша,403407,Дуф,с,
1724,Маврово и Ростуша,403431,Жировница,с,
1724,Маврово и Ростуша,403440,Жужње,с,
1724,Маврово и Ростуша,403474,Јанче,с,
1724,Маврово и Ростуша,403512,Кичиница,с,
1724,Маврово и Ростуша,403547,Кракорница,с,
1724,Маврово и Ростуша,403563,Лазарополе,с,
1724,Маврово и Ростуша,403580,Леуново,с,
1724,Маврово и Ростуша,403610,Маврови Анови,с,
1724,Маврово и Ростуша,403628,Маврово,с,
1724,Маврово и Ростуша,403679,Нивиште,с,
1724,Маврово и Ростуша,403687,Никифорово,с,
1724,Маврово и Ростуша,403695,Нистрово,с,
1724,Маврово и Ростуша,403709,Ничпур,с,
1724,Маврово и Ростуша,403725,Ново Село,с,
1724,Маврово и Ростуша,403733,Орќуше,с,
1724,Маврово и Ростуша,403776,Присојница,с,
1724,Маврово и Ростуша,403806,Рибница,с,
1724,Маврово и Ростуша,403814,Росоки,с,
1724,Маврово и Ростуша,403822,Ростуша,с,
1724,Маврово и Ростуша,403849,Селце,с,
1724,Маврово и Ростуша,403865,Сенце,с,
1724,Маврово и Ростуша,403881,Скудриње,с,
1724,Маврово и Ростуша,403903,Сретково,с,
1724,Маврово и Ростуша,403938,Сушица,с,
1724,Маврово и Ростуша,403946,Тануше,с,
1724,Маврово и Ростуша,403962,Требиште,с,
1724,Маврово и Ростуша,403989,Тресонче,с,
1724,Маврово и Ростуша,404039,Церово,с,
1732,Македонска Каменица,404586,Дулица,с,
1732,Македонска Каменица,404632,Косевица,с,
1732,Македонска Каменица,404667,Костин Дол,с,
1732,Македонска Каменица,404675,Луковица,с,
1732,Македонска Каменица,404616,Македонска Каменица,г,
1732,Македонска Каменица,404683,Моштица,с,
1732,Македонска Каменица,404730,Саса,с,
1732,Македонска Каменица,404772,Тодоровци,с,
1732,Македонска Каменица,407151,Цера,с,
1759,Македонски Брод,401609,Белица,с,
1759,Македонски Брод,401617,Бенче,с,
1759,Македонски Брод,401625,Битово,с,
1759,Македонски Брод,401633,Близанско,с,
1759,Македонски Брод,401641,Брезница,с,
1759,Македонски Брод,401650,Брест,с,
1759,Македонски Брод,401676,Вир,с,
1759,Македонски Брод,401684,Волче,с,
1759,Македонски Брод,401692,Горни Манастирец,с,
1759,Македонски Брод,401706,Горно Ботушје,с,
1759,Македонски Брод,401714,Горно Крушје,с,
1759,Македонски Брод,401722,Грешница,с,
1759,Македонски Брод,401757,Девич,с,
1759,Македонски Брод,401765,Долни Манастирец,с,
1759,Македонски Брод,401773,Долно Ботушје,с,
1759,Македонски Брод,401781,Долно Крушје,с,
1759,Македонски Брод,401790,Драгов Дол,с,
1759,Македонски Брод,401803,Дреново,с,
1759,Македонски Брод,401811,Заград,с,
1759,Македонски Брод,401820,Звечан,с,
1759,Македонски Брод,401838,Здуње,с,
1759,Македонски Брод,401846,Зркле,с,
1759,Македонски Брод,401854,Ижиште,с,
1759,Македонски Брод,401862,Инче,с,
1759,Македонски Брод,401889,Калуѓерец,с,
1759,Македонски Брод,401897,Ковач,с,
1759,Македонски Брод,401919,Ковче,с,
1759,Македонски Брод,401927,Косово,с,
1759,Македонски Брод,401935,Крапа,с,
1759,Македонски Брод,401943,Латово,с,
1759,Македонски Брод,401951,Локвица,с,
1759,Македонски Брод,401960,Лупште,с,
1759,Македонски Брод,401668,Македонски Брод,г,
1759,Македонски Брод,401978,Могилец,с,
1759,Македонски Брод,401986,Модриште,с,
1759,Македонски Брод,401994,Ореовец,с,
1759,Македонски Брод,402028,Рамне,с,
1759,Македонски Брод,402036,Растеш,с,
1759,Македонски Брод,402044,Русјаци,с,
1759,Македонски Брод,402052,Самоков,с,
1759,Македонски Брод,402079,Сланско,с,
1759,Македонски Брод,402087,Слатина,с,
1759,Македонски Брод,402095,Старо Село,с,
1759,Македонски Брод,402109,Суводол,с,
1759,Македонски Брод,402117,Сушица,с,
1759,Македонски Брод,402125,Тажево,с,
1759,Македонски Брод,402133,Томино Село,с,
1759,Македонски Брод,402141,Тополница,с,
1759,Македонски Брод,402150,Требино,с,
1759,Македонски Брод,402168,Требовље,с,
1759,Македонски Брод,402176,Црешнево,с,
1783,Могила,400181,Алинци,с,
1783,Могила,400238,Беранци,с,
1783,Могила,400335,Будаково,с,
1783,Могила,400360,Вашарејца,с,
1783,Могила,400491,Горна Чарлија,с,
1783,Могила,400556,Дедебалци,с,
1783,Могила,400602,Добрушево,с,
1783,Могила,400688,Долна Чарлија,с,
1783,Могила,400670,Долно Српци,с,
1783,Могила,400793,Ивањевци,с,
1783,Могила,400971,Лознани,с,
1783,Могила,401056,Могила,с,
1783,Могила,401064,Мојно,с,
1783,Могила,401072,Мусинци,с,
1783,Могила,401145,Новоселани,с,
1783,Могила,401153,Ношпал,с,
1783,Могила,401234,Подино,с,
1783,Могила,401285,Путурус,с,
1783,Могила,401293,Радобор,с,
1783,Могила,401358,Свето Тодори,с,
1783,Могила,401510,Трап,с,
1783,Могила,401544,Трновци,с,
1783,Могила,401579,Црничани,с,
1805,Неготино,409618,Брусник,с,
1805,Неготино,409626,Вешје,с,
1805,Неготино,409634,Војшанци,с,
1805,Неготино,409642,Горни Дисан,с,
1805,Неготино,409677,Долни Дисан,с,
1805,Неготино,409707,Дуброво,с,
1805,Неготино,409723,Јаношево,с,
1805,Неготино,409731,Калањево,с,
1805,Неготино,409782,Криволак,с,
1805,Неготино,409804,Курија,с,
1805,Неготино,409812,Липа,с,
1805,Неготино,409839,Неготино,г,
1805,Неготино,409847,Пепелиште,с,
1805,Неготино,409855,Пештерница,с,
1805,Неготино,409880,Тимјаник,с,
1805,Неготино,409898,Тремник,с,
1805,Неготино,409901,Црвени Брегови,с,
1805,Неготино,409936,Џидимирци,с,
1805,Неготино,409944,Шеоба,с,
1821,Новаци,400190,Арматуш,с,
1821,Новаци,400203,Балдовенци,с,
1821,Новаци,400220,Бач,с,
1821,Новаци,400246,Биљаник,с,
1821,Новаци,400297,Брник,с,
1821,Новаци,400319,Брод,с,
1821,Новаци,400343,Будимирци,с,
1821,Новаци,400378,Велесело,с,
1821,Новаци,400394,Врањевци,с,
1821,Новаци,400416,Гермијан,с,
1821,Новаци,400424,Гнеотино,с,
1821,Новаци,400432,Гнилеж,с,
1821,Новаци,400467,Горно Агларци,с,
1821,Новаци,400505,Градешница,с,
1821,Новаци,400521,Грумази,с,
1821,Новаци,400530,Груништа,с,
1821,Новаци,400548,Далбеговци,с,
1821,Новаци,400572,Добровени,с,
1821,Новаци,400599,Добромири,с,
1821,Новаци,400637,Долно Агларци,с,
1821,Новаци,400653,Долно Орехово,с,
1821,Новаци,400769,Живојно,с,
1821,Новаци,400785,Зовиќ 1,с,
1821,Новаци,419656,Зовиќ 2,с,
1821,Новаци,400807,Ивени,с,
1821,Новаци,401005,Маково,с,
1821,Новаци,401021,Мегленци,с,
1821,Новаци,401102,Новаци,с,
1821,Новаци,401137,Ново Село,с,
1821,Новаци,401200,Орле,с,
1821,Новаци,401226,Паралово,с,
1821,Новаци,419664,Петалино,с,
1821,Новаци,401269,Полог,с,
1821,Новаци,401315,Рапеш,с,
1821,Новаци,401331,Рибарци,с,
1821,Новаци,401382,Скочивир,с,
1821,Новаци,401404,Сливица,с,
1821,Новаци,401439,Совиќ,с,
1821,Новаци,401463,Старавина,с,
1821,Новаци,401498,Суво Дол,с,
1821,Новаци,401501,Тепавци,с,
1830,Ново Село,415669,Бадолен,с,
1830,Ново Село,415677,Бајково,с,
1830,Ново Село,415707,Барбарево,с,
1830,Ново Село,415731,Борисово,с,
1830,Ново Село,415910,Дражево,с,
1830,Ново Село,415987,Зубово,с,
1830,Ново Село,416002,Колешино,с,
1830,Ново Село,416061,Мокриево,с,
1830,Ново Село,416070,Мокрино,с,
1830,Ново Село,416126,Ново Коњарево,с,
1830,Ново Село,416134,Ново Село,с,
1830,Ново Село,416258,Самоилово,с,
1830,Ново Село,416339,Смолари,с,
1830,Ново Село,416355,Старо Коњарево,с,
1830,Ново Село,416363,Стиник,с,
1830,Ново Село,416398,Сушица,с,
1872,Осломеј,405809,Арангел,с,
1872,Осломеј,405841,Бериково,с,
1872,Осломеј,405914,Гарани,с,
1872,Осломеј,406058,Жубрино,с,
1872,Осломеј,406112,Јагол,с,
1872,Осломеј,406139,Јагол Доленци,с,
1872,Осломеј,406368,Ново Село,с,
1872,Осломеј,406384,Осломеј,с,
1872,Осломеј,406406,Папрадиште,с,
1872,Осломеј,406449,Поповјани,с,
1872,Осломеј,406473,Премка,с,
1872,Осломеј,406554,Србица,с,
1872,Осломеј,406597,Стрелци,с,
1872,Осломеј,406635,Туин,с,
1872,Осломеј,406651,Црвивци,с,
1872,Осломеј,406678,Шутово,с,
1899,Охрид,410004,Вапила,с,
1899,Охрид,410012,Велгошти,с,
1899,Охрид,410039,Велестово,с,
1899,Охрид,410098,Горно Лакочереј,с,
1899,Охрид,419559,Долно Коњско,с,
1899,Охрид,410128,Долно Лакочереј,с,
1899,Охрид,410144,Елшани,с,
1899,Охрид,410152,Завој,с,
1899,Охрид,410209,Коњско,с,
1899,Охрид,410217,Косел,с,
1899,Охрид,410225,Куратица,с,
1899,Охрид,419575,Лагадин,с,
1899,Охрид,410241,Лескоец,с,
1899,Охрид,410268,Ливоишта,с,
1899,Охрид,410276,Љубаништа,с,
1899,Охрид,410322,Опеница,с,
1899,Охрид,410349,Орман,с,
1899,Охрид,410365,Охрид,г,
1899,Охрид,410381,Пештани,с,
1899,Охрид,410390,Плаќе,с,
1899,Охрид,410403,Подмоље,с,
1899,Охрид,410411,Рамне,с,
1899,Охрид,410420,Расино,с,
1899,Охрид,410438,Речица,с,
1899,Охрид,410446,Свиништа,с,
1899,Охрид,410454,Сирула,с,
1899,Охрид,410462,Скребатно,с,
1899,Охрид,410543,Трпејца,с,
1899,Охрид,410578,Шипокно,с,
1902,Петровец,413739,Бадар,с,
1902,Петровец,413747,Блаце,с,
1902,Петровец,413755,Брезница,с,
1902,Петровец,413810,Горно Коњари,с,
1902,Петровец,413828,Градманци,с,
1902,Петровец,413852,Дивље,с,
1902,Петровец,413879,Долно Коњари,с,
1902,Петровец,413925,Катланово,с,
1902,Петровец,413933,Кожле,с,
1902,Петровец,413950,Летевци,с,
1902,Петровец,414018,Огњанци,с,
1902,Петровец,414034,Петровец,с,
1902,Петровец,414042,Р’жаничино,с,
1902,Петровец,414077,Средно Коњари,с,
1902,Петровец,414093,Сушица,с,
1902,Петровец,413941,Ќојлија,с,
1929,Пехчево,400076,Негрево,с,
1929,Пехчево,400084,Панчарево,с,
1929,Пехчево,400092,Пехчево,г,
1929,Пехчево,400114,Робово,с,
1929,Пехчево,400157,Умлена,с,
1929,Пехчево,400165,Црник,с,
1929,Пехчево,400173,Чифлик,с,
1937,Пласница,401749,Дворци,с,
1937,Пласница,406295,Лисичани,с,
1937,Пласница,402001,Пласница,с,
1937,Пласница,402010,Преглово,с,
1953,Прилеп,410586,Алинци,с,
1953,Прилеп,410616,Беловодица,с,
1953,Прилеп,410624,Беровци,с,
1953,Прилеп,410632,Бешиште,с,
1953,Прилеп,410659,Бонче,с,
1953,Прилеп,410691,Вепрчани,с,
1953,Прилеп,410705,Веселчани,с,
1953,Прилеп,410713,Витолиште,с,
1953,Прилеп,410730,Волково,с,
1953,Прилеп,410764,Врпско,с,
1953,Прилеп,410772,Галичани,с,
1953,Прилеп,410802,Голем Радобил,с,
1953,Прилеп,410829,Големо Коњари,с,
1953,Прилеп,410853,Гуѓаково,с,
1953,Прилеп,410870,Дабница,с,
1953,Прилеп,410926,Дрен,с,
1953,Прилеп,410942,Дуње,с,
1953,Прилеп,410977,Ерековци,с,
1953,Прилеп,410993,Живово,с,
1953,Прилеп,411027,Загорани,с,
1953,Прилеп,411051,Кадино Село,с,
1953,Прилеп,411060,Кален,с,
1953,Прилеп,411078,Канатларци,с,
1953,Прилеп,411086,Клепач,с,
1953,Прилеп,411094,Кокре,с,
1953,Прилеп,411159,Крстец,с,
1953,Прилеп,411175,Крушевица,с,
1953,Прилеп,411205,Леништа,с,
1953,Прилеп,411213,Лопатица,с,
1953,Прилеп,411221,Мажучиште,с,
1953,Прилеп,411230,Мал Радобил,с,
1953,Прилеп,411248,Мало Коњари,с,
1953,Прилеп,411264,Мало Рувци,с,
1953,Прилеп,411272,Манастир,с,
1953,Прилеп,411302,Марул,с,
1953,Прилеп,411345,Никодин,с,
1953,Прилеп,411353,Ново Лагово,с,
1953,Прилеп,411388,Ореовец,с,
1953,Прилеп,411418,Пештани,с,
1953,Прилеп,411426,Плетвар,с,
1953,Прилеп,411434,Подмол,с,
1953,Прилеп,411442,Полчиште,с,
1953,Прилеп,411469,Прилеп,г,
1953,Прилеп,411477,Прилепец,с,
1953,Прилеп,411485,Присад,с,
1953,Прилеп,411493,Ракле,с,
1953,Прилеп,411540,Селце,с,
1953,Прилеп,411604,Смолани,с,
1953,Прилеп,411639,Старо Лагово,с,
1953,Прилеп,411655,Топлица,с,
1953,Прилеп,411663,Тополчани,с,
1953,Прилеп,411671,Тројаци,с,
1953,Прилеп,411680,Тројкрсти,с,
1953,Прилеп,411698,Царевиќ,с,
1953,Прилеп,411710,Чаниште,с,
1953,Прилеп,411728,Чепигово,с,
1953,Прилеп,411736,Чумово,с,
1953,Прилеп,411744,Шелеверци,с,
1953,Прилеп,411752,Штавица,с,
1961,Пробиштип,411779,Бунеш,с,
1961,Пробиштип,411787,Бучиште,с,
1961,Пробиштип,411795,Гајранци,с,
1961,Пробиштип,411809,Горни Стубол,с,
1961,Пробиштип,411817,Горно Барбарево,с,
1961,Пробиштип,411825,Гризилевци,с,
1961,Пробиштип,411833,Гујновци,с,
1961,Пробиштип,411841,Добрево,с,
1961,Пробиштип,411850,Долни Стубол,с,
1961,Пробиштип,411868,Долно Барбарево,с,
1961,Пробиштип,411876,Древено,с,
1961,Пробиштип,411884,Дренок,с,
1961,Пробиштип,411892,Зарепинци,с,
1961,Пробиштип,411906,Зеленград,с,
1961,Пробиштип,411914,Злетово,с,
1961,Пробиштип,411922,Јамиште,с,
1961,Пробиштип,411949,Калниште,с,
1961,Пробиштип,411957,Куково,с,
1961,Пробиштип,411965,Кундино,с,
1961,Пробиштип,411973,Лезово,с,
1961,Пробиштип,411981,Лесново,с,
1961,Пробиштип,411990,Марчино,с,
1961,Пробиштип,412007,Неокази,с,
1961,Пробиштип,412015,Пестршино,с,
1961,Пробиштип,412023,Петришино,с,
1961,Пробиштип,412031,Пишица,с,
1961,Пробиштип,412040,Плешанци,с,
1961,Пробиштип,412058,Пробиштип,г,
1961,Пробиштип,412074,Пуздерци,с,
1961,Пробиштип,412082,Ратавица,с,
1961,Пробиштип,412104,Стрисовци,с,
1961,Пробиштип,412112,Стрмош,с,
1961,Пробиштип,412139,Трипатанци,с,
1961,Пробиштип,412147,Трооло,с,
1961,Пробиштип,412155,Турско Рудари,с,
1961,Пробиштип,412163,Шталковица,с,
1970,Радовиш,412171,Али Коч,с,
1970,Радовиш,412180,Али Лобаси,с,
1970,Радовиш,412198,Бучим,с,
1970,Радовиш,412201,Воиславци,с,
1970,Радовиш,412252,Дамјан,с,
1970,Радовиш,412317,Држани,с,
1970,Радовиш,412325,Дурутлија,с,
1970,Радовиш,412341,Злеово,с,
1970,Радовиш,412350,Ињево,с,
1970,Радовиш,412368,Јаргулица,с,
1970,Радовиш,412376,Калаузлија,с,
1970,Радовиш,412384,Калуѓерица,с,
1970,Радовиш,412392,Каралобоси,с,
1970,Радовиш,412406,Караџалар,с,
1970,Радовиш,412414,Козбунар,с,
1970,Радовиш,412457,Коџалија,с,
1970,Радовиш,412481,Ново Село,с,
1970,Радовиш,412490,Ораовица,с,
1970,Радовиш,412503,Папавница,с,
